2.202
year,mean_tmin0,mean_tmin1,mean_tmin2,mean_tmin3,mean_tmin4,mean_tmin5,mean_tmin6,mean_tmin7,mean_tmin8,mean_tmin9,mean_tmin10,mean_tmin11,mean_tmin12,sd_tmin0,sd_tmin1,sd_tmin2,sd_tmin3,sd_tmin4,sd_tmin5,sd_tmin6,sd_tmin7,sd_tmin8,sd_tmin9,sd_tmin10,sd_tmin11,sd_tmin12,rlag_tmin0,rlag_tmin1,rlag_tmin2,rlag_tmin3,rlag_tmin4,rlag_tmin5,rlag_tmin6,rlag_tmin7,rlag_tmin8,rlag_tmin9,rlag_tmin10,rlag_tmin11,rlag_tmin12,skew_tmin0,skew_tmin1,skew_tmin2,skew_tmin3,skew_tmin4,skew_tmin5,skew_tmin6,skew_tmin7,skew_tmin8,skew_tmin9,skew_tmin10,skew_tmin11,skew_tmin12,mean_tmax0,mean_tmax1,mean_tmax2,mean_tmax3,mean_tmax4,mean_tmax5,mean_tmax6,mean_tmax7,mean_tmax8,mean_tmax9,mean_tmax10,mean_tmax11,mean_tmax12,sd_tmax0,sd_tmax1,sd_tmax2,sd_tmax3,sd_tmax4,sd_tmax5,sd_tmax6,sd_tmax7,sd_tmax8,sd_tmax9,sd_tmax10,sd_tmax11,sd_tmax12,rlag_tmax0,rlag_tmax1,rlag_tmax2,rlag_tmax3,rlag_tmax4,rlag_tmax5,rlag_tmax6,rlag_tmax7,rlag_tmax8,rlag_tmax9,rlag_tmax10,rlag_tmax11,rlag_tmax12,skew_tmax0,skew_tmax1,skew_tmax2,skew_tmax3,skew_tmax4,skew_tmax5,skew_tmax6,skew_tmax7,skew_tmax8,skew_tmax9,skew_tmax10,skew_tmax11,skew_tmax12,mean_wind0,mean_wind1,mean_wind2,mean_wind3,mean_wind4,mean_wind5,mean_wind6,mean_wind7,mean_wind8,mean_wind9,mean_wind10,mean_wind11,mean_wind12,sd_wind0,sd_wind1,sd_wind2,sd_wind3,sd_wind4,sd_wind5,sd_wind6,sd_wind7,sd_wind8,sd_wind9,sd_wind10,sd_wind11,sd_wind12,rlag_wind0,rlag_wind1,rlag_wind2,rlag_wind3,rlag_wind4,rlag_wind5,rlag_wind6,rlag_wind7,rlag_wind8,rlag_wind9,rlag_wind10,rlag_wind11,rlag_wind12,totrain0,totrain1,totrain2,totrain3,totrain4,totrain5,totrain6,totrain7,totrain8,totrain9,totrain10,totrain11,totrain12,pww0,pww1,pww2,pww3,pww4,pww5,pww6,pww7,pww8,pww9,pww10,pww11,pww12,pwd0,pwd1,pwd2,pwd3,pwd4,pwd5,pwd6,pwd7,pwd8,pwd9,pwd10,pwd11,pwd12
2017,23.24329660821985,23.313201131239637,23.040874301411495,23.067951398233863,23.233333333333327,23.94516129032258,23.45,23.022580645161288,23.03714819896754,23.16931924124652,23.28162862615419,23.29667724382967,23.047776677935044,0.6283269541981555,0.5255048110190078,0.7248542667632207,0.6411051426470421,0.501262773219887,0.40893252065788666,0.792094560708157,0.5270734783812435,0.5567419251683479,0.45891498966085953,0.6603870991948918,0.571279499195855,0.547772996152354,0.23232218856240128,-0.016109177630799436,0.2314985496188422,0.1566701972918564,0.27569380908813707,-0.24931343754148366,0.13341577356416637,0.0993737170939277,-0.14672220038388376,0.05760395436971198,-0.029891303988371618,-0.10285931691477718,0.2698061557638024,-0.1719979742800644,-0.7011143733885234,-0.38705550294687063,-1.0444556891193248,-0.28564100957958977,-0.4947806174584912,-0.1041642988693,-0.063853759885889,0.015345089099010088,0.3432103703190102,-0.12252393442063339,-0.09979926385485928,0.14770712583515644,31.98860693375289,32.30276755917726,31.85699294496237,32.845004197747784,32.79333333333333,32.15806451612903,32.36333333333333,31.506451612903227,31.280645394705243,31.8060710869073,32.48895402881235,30.956252399345043,31.49153281224406,1.53138632215446,1.4309753658284496,1.8961840042495617,1.0753321473349193,0.9951376038391437,1.384382941614154,1.3875016827161795,1.1523701615571762,1.4125644076570623,1.2549665230899816,1.7552847988562679,1.7692177462280754,1.504044990069783,0.20697300917795847,0.015317424933120008,0.02529764932736576,-0.23624375664049305,0.20003095160716214,-0.39037821547220086,-0.14950852493795624,0.015399764920987939,0.0004069821597968558,0.13452907718029086,0.3960362388813378,0.08122325787419302,0.31819891170870535,-0.5273691550227544,-0.10629779330586049,-0.31273412888126007,0.1598186044148784,0.04172376035437992,-0.42721322525328126,-0.35679664818596013,-0.6864798498507781,-0.6967211467195937,-0.6203882947563586,-0.5799946874474607,-0.5058036233563047,-0.7925687790501224,0.6983347544676584,0.5258064516129033,0.557142857142857,0.5935483870967744,0.55,0.5741935483870968,0.5333333333333333,0.6161290322580645,0.559355412663093,0.7339764308149161,0.9033752291112093,1.085546377227755,1.137479072400381,0.27184265421866055,0.1210171941929021,0.08789122666607699,0.0892019576428221,0.09737945687202025,0.1031753909143192,0.11841869998335197,0.12674587223666203,0.10651916366670591,0.21467440348315825,0.14897267799918684,0.32942984513484014,0.2965213711378292,0.7343603180818739,0.15046658140305996,0.16927592954990234,0.5025283347863989,-0.04545454545454546,-0.12127728901922451,0.0874316939890711,0.0001295504599041043,0.29749319522076867,0.6363825643496954,-0.1046857531111758,0.6008507289802806,0.1862399086419114,1270.7,127.99999999999999,58.1,79.5,102.50000000000001,61.99999999999999,47.2,30.2,100.1,63.5,46.50000000000001,439.1,114.0,0.5939086294416244,0.7619047619047619,0.5294117647058824,0.5333333333333333,0.47058823529411764,0.6111111111111112,0.38461538461538464,0.36363636363636365,0.375,0.6153846153846154,0.45454545454545453,0.8888888888888888,0.6111111111111112,0.47023809523809523,0.4,0.6363636363636364,0.375,0.6153846153846154,0.5384615384615384,0.47058823529411764,0.3,0.6,0.23529411764705882,0.3,0.6666666666666666,0.5384615384615384
2018,23.153013955046212,22.597679281663723,22.84527091844388,23.05161290322581,23.450554541993746,23.68010405359324,23.336666666666666,23.183046950142316,23.132258064516133,22.73420805057799,23.08883520164221,23.44333333333333,23.274193548387096,0.6745813600752093,0.7389564115794974,0.7317748422246046,0.728409668497948,0.6093216386788064,0.5124475476383091,0.7499348630718371,0.6283836560865741,0.5855977554454895,0.5675515412081846,0.5500245382235773,0.4124638611825397,0.41710729389889095,0.35848754031881885,0.5007709020347382,0.38374321769787983,-0.030160871930044728,0.1489488859584204,0.5644915858249058,0.4029914093209889,0.1504765025069472,-0.05014504598180235,0.03160802762798577,-0.13039575580300125,-0.11604846519379217,0.18837672953466872,-0.4013935701334145,-0.55467533906015,-0.06554804121715382,-0.4475676258519837,-0.6454798916969293,0.2592710253063639,-0.03862942047309679,-0.42641886437481236,-0.09358428923526226,0.29925255477195567,-0.6250349547380425,-0.018401935053956067,-0.10337367550477056,31.955909960248864,29.643055300572062,31.229635592735235,32.36451612903225,32.86722020985747,32.99089401100247,31.74666666666667,31.817505137171036,32.57741935483871,32.26437197485145,32.20111243360853,31.67,32.05161290322581,1.9449539347229425,3.464439463394838,2.7283262385596543,1.1238470794839108,0.9993902731774286,1.3923802883429104,1.7878388674855334,0.9177694740628367,1.294529432501596,1.4918518395100218,1.662670925867476,1.251247653206659,1.4667130979942726,0.4927497985370389,0.6216810298586981,0.18544023081257813,0.3997386114164027,0.2657703137990314,0.20519812864307627,0.12648504288871945,0.13870987081767527,0.28737516429155424,0.5789731111892162,0.2626077967252957,0.17805211109398075,0.17418122987156182,-1.5746162630939857,-0.34938479540065004,-0.8640407074668116,-0.7780647967054212,0.24273317359033453,-0.7723407004967223,-0.7049585553113682,-0.7656646109320431,-1.8172025230086986,-0.16657289236878567,-0.5108611035491952,-0.09026715466083134,-0.6359968707480691,0.9829369175807047,1.128104552081178,1.1535346574023742,1.1354838709677417,1.0633333333333332,0.8659700027206924,0.7899999999999998,0.7953772035752527,0.8516129032258064,0.9033333333333334,1.0193548387096774,1.0233333333333334,1.0774193548387097,0.22177003739936343,0.3117636421871328,0.17627053415367402,0.16237484841517005,0.16914252984479938,0.1361533510840902,0.11551981469084385,0.15640750906887946,0.12348000578213865,0.16501480254047293,0.14926342449667002,0.24450277952490093,0.19097936610945668,0.4957342661542202,0.38905096948112095,0.2338804593437951,0.22271483449981586,0.4198339359850006,0.11476766864058462,-0.059689922480620196,-0.043713728176199305,0.2515810546430683,0.1646123540171662,0.05059783285589738,0.0790937640197398,0.2518924984783929,1093.1999999999998,522.3,38.8,48.800000000000004,49.3,68.8,47.699999999999996,52.3,24.7,35.400000000000006,125.0,48.70000000000001,31.400000000000002,0.5276073619631901,0.6363636363636364,0.25,0.6428571428571429,0.5,0.5263157894736842,0.25,0.5333333333333333,0.2,0.5384615384615384,0.7,0.5,0.5333333333333333,0.37623762376237624,0.15,0.25,0.23529411764705882,0.2,0.6666666666666666,0.4444444444444444,0.375,0.38095238095238093,0.35294117647058826,0.5454545454545454,0.5714285714285714,0.4375
2019,23.02123981018079,23.290251218655587,23.55360345486462,23.901373347196813,23.814062590465575,23.69156473329697,23.24442041239347,23.066076998328025,22.348407538155083,22.121757132608007,22.094974753358187,22.24735650254309,22.91134285744405,0.8472015656832323,0.5615900595978054,0.5581950513769127,0.4950318668307363,0.5120675807393845,0.5021517723342777,0.6302099067387932,0.5386603796130773,0.48810160798663327,0.6275759431942035,0.3755368587966848,0.6304654320760493,0.6961154763864111,0.6077136167201821,0.11675484120283361,0.1037655265979147,0.07495965074895378,-0.08613889379269928,0.19780977160036192,0.23491580866725545,-0.21768989299467384,0.13685517756063914,-0.07422363633467333,0.12733471270173571,-0.006007211646878593,0.07977906112713216,-0.1360367138772917,0.17656504875595946,-0.5577381998257628,-0.22716293183020458,0.06519346899627232,0.10018244804672163,-0.18346302685634325,0.28647890660928343,-0.5324455339761829,0.431997138767972,-0.6804759817993717,-0.6925495536211929,0.17231511937444108,32.326342892685524,31.53548387096774,33.003571428571426,34.15483870967742,33.6929617883366,34.399738497923806,31.813333333333333,32.31540474249415,32.63548387096774,33.04333333333333,31.07827327060283,30.861013011282516,29.451612903225808,1.9854897604781399,1.4286470026092928,0.7974413448101986,0.977015424537886,1.5056663550832683,1.44271919283121,1.6005889720572437,1.2663821628540486,0.9741828668502208,1.0427693014717845,1.8320835242712006,1.637419610404469,1.987606763210794,0.6245448373236713,0.503319513498301,0.18654111878760962,0.17869733727617154,0.18319694967711878,-0.3278823195017012,0.21453072749352392,0.38661174261295544,-0.04329144828695294,0.32608922386303135,0.3377311877043764,0.10238246602218154,0.46444715336654974,-0.8233276212932333,0.3219278017343869,0.11848498861264546,-1.04598670872287,-1.420130246218341,1.28406936391534,-1.6763574577221354,-1.3351092985104198,-0.4196886193332437,-0.3554884046791343,-0.5482503150287567,-0.9117732945444442,-1.7286409397539477,1.1719703360345541,1.4806451612903226,1.6285714285714286,1.3354838709677417,0.9393535931656264,0.9062873320112915,1.0,1.0193548387096774,1.0903225806451615,1.0599999999999998,1.0805488628521605,1.1832214272292143,1.3677419354838711,0.3105197803555906,0.2925968270945644,0.25799388861142925,0.27147545880094354,0.21433299781407772,0.15600580643170706,0.1485562705416415,0.13017771145299717,0.1491192782298283,0.15222487902147744,0.2607228821385606,0.22048322214903937,0.3390055031747946,0.6493551170748371,0.17619174951989705,0.4391324097206451,0.4795880907781659,0.6153045593888182,0.37837373188553647,-0.03125000000000004,0.14520222695267726,-0.0073937730080488795,0.4083333333333333,0.07086481772744493,0.10346357207864884,0.4967977351748117,1144.3999999999999,33.50000000000001,10.5,34.00000000000001,115.6,40.0,50.099999999999994,56.29999999999999,49.3,48.5,239.89999999999998,61.900000000000006,404.7999999999999,0.705,0.2222222222222222,0.6,0.3333333333333333,0.5294117647058824,0.4,0.8928571428571429,0.7391304347826086,0.8846153846153846,0.5833333333333334,0.6842105263157895,0.5882352941176471,0.84,0.3575757575757576,0.3181818181818182,0.08695652173913043,0.2727272727272727,0.5384615384615384,0.2857142857142857,1.0,0.75,0.6,0.2777777777777778,0.4166666666666667,0.5384615384615384,0.5
